observation_id,observed_on,created_at,quality_grade,place_guess,latitude,longitude,taxon_id,scientific_name,preferred_common_name,rank,iconic_taxon_name,observer_login,uri,photo_url,source
351185264,2026-04-19,2026-04-19T13:45:18-03:00,research,"Carlos Saavedra Lamas, Pilar, Buenos Aires Province, AR",-34.4157366667,-58.8726633333,545573,Araujia odorata,Latexplant,species,Plantae,obernardot,https://www.inaturalist.org/observations/351185264,https://static.inaturalist.org/photos/640831537/medium.jpg,iNaturalist / ArgentiNat API: observations
357595028,2026-05-02,2026-05-02T14:45:59-03:00,research,"7HRF+34, Anisacate, Córdoba, Argentina",-31.7100446764,-64.4283517543,133291,Rivina humilis,pigeonberry,species,Plantae,elchicodelvivero,https://www.inaturalist.org/observations/357595028,https://inaturalist-open-data.s3.amazonaws.com/photos/652236418/medium.jpg,iNaturalist / ArgentiNat API: observations
358136142,2026-05-02,2026-05-03T22:16:58-03:00,research,"Entre Ríos, AR",-33.0022416667,-58.6597116667,880795,Urolepis hecatantha,,species,Plantae,pedrooppen,https://www.inaturalist.org/observations/358136142,https://inaturalist-open-data.s3.amazonaws.com/photos/653287145/medium.jpg,iNaturalist / ArgentiNat API: observations
357995925,2026-05-03,2026-05-03T15:13:43-03:00,research,"Escobar, Buenos Aires Province, AR",-34.3036389887,-58.7402691302,78589,Pistia stratiotes,Water Lettuce,species,Plantae,poliqueta,https://www.inaturalist.org/observations/357995925,https://inaturalist-open-data.s3.amazonaws.com/photos/653009987/medium.jpg,iNaturalist / ArgentiNat API: observations
349610984,2026-04-13,2026-04-13T17:48:14-03:00,research,"Belén, Catamarca, Argentina",-26.8813622,-66.7334440997,129847,Denmoza rhodacantha,,species,Plantae,priscila_ana,https://www.inaturalist.org/observations/349610984,https://static.inaturalist.org/photos/637787012/medium.jpg,iNaturalist / ArgentiNat API: observations
353922563,2026-04-10,2026-04-25T19:18:51-03:00,research,"Bariloche, AR-RN, AR",-41.1431971667,-71.31378,77844,Luma apiculata,arrayan,species,Plantae,vidalrussell,https://www.inaturalist.org/observations/353922563,https://inaturalist-open-data.s3.amazonaws.com/photos/645704013/medium.jpg,iNaturalist / ArgentiNat API: observations
355478557,2026-04-27,2026-04-27T13:53:22-03:00,research,"Calle 446, La Plata, Buenos Aires Province, AR",-34.87043,-58.0804638333,79382,Tradescantia fluminensis,small-leaf spiderwort,species,Plantae,cactusauria,https://www.inaturalist.org/observations/355478557,https://inaturalist-open-data.s3.amazonaws.com/photos/648294222/medium.jpg,iNaturalist / ArgentiNat API: observations
356089576,2026-04-27,2026-04-28T11:10:53-03:00,research,"Vial Costero Raúl Alfonsín, Vicente López, Buenos Aires Province, AR",-34.5205633333,-58.4689133333,168837,Senna corymbosa,Argentine Senna,species,Plantae,olivialabale,https://www.inaturalist.org/observations/356089576,https://inaturalist-open-data.s3.amazonaws.com/photos/649367301/medium.jpg,iNaturalist / ArgentiNat API: observations
347498839,2026-04-04,2026-04-05T08:26:27-03:00,research,"Tierra del Fuego National Park, AR-TF-US, AR-TF, AR",-54.8592983333,-68.5649483333,218501,Blechnum penna-marina,little hard fern,species,Plantae,pablo_jusim,https://www.inaturalist.org/observations/347498839,https://inaturalist-open-data.s3.amazonaws.com/photos/633613133/medium.jpg,iNaturalist / ArgentiNat API: observations
358472285,2026-05-04,2026-05-04T21:54:32-03:00,research,"WF5M+WR, La Falda, Córdoba, Argentina",-31.0883861111,-64.515175,130175,Hyptis mutabilis,Tropical Bushmint,species,Plantae,gracieladangelo,https://www.inaturalist.org/observations/358472285,https://inaturalist-open-data.s3.amazonaws.com/photos/653945354/medium.jpg,iNaturalist / ArgentiNat API: observations
